epoch,loss,accuracy,val_loss,val_accuracy,lr
1,3.358856335930202,0.06829668078131403,3.092510461807251,0.12237093690248566,0.001
2,3.0826298858808436,0.10654282201884989,2.850576648712158,0.17718291905672404,0.001
3,2.905328727805096,0.13795929517825434,2.7806290912628175,0.19120458891013384,0.001
4,2.678951535017594,0.16800983472203251,2.6142672157287596,0.1835564053537285,0.001
5,2.4420974389366483,0.21772981833082913,2.2110868978500364,0.2664117272147865,0.001
6,2.227963475559069,0.25966398033055593,1.9340596580505371,0.3702995538559592,0.001
7,2.04619766836581,0.30842781040841416,1.7463119316101074,0.4321223709369025,0.001
8,1.8397788141084754,0.3627919683103401,1.6094813251495361,0.46335245379222434,0.001
9,1.6778409180433853,0.40486272367162957,1.3970859241485596,0.5583173996175909,0.001
10,1.5297866106033324,0.44228930473978967,1.4277398824691772,0.5092415551306565,0.001
11,1.4215052780897721,0.4795792924463871,1.2227059125900268,0.5481198215423837,0.001
12,1.3219834773436836,0.5094932386286026,1.1337120199203492,0.6577437858508605,0.001
13,1.2588090901789457,0.5224696079770523,1.0414341163635255,0.6252390057361377,0.001
14,1.1627349107161813,0.5582570687064609,0.9110635352134705,0.6602931803696622,0.001
15,1.0632954975833064,0.5876246414424259,0.957423985004425,0.6755895474824729,0.001
16,0.9909167015034219,0.6137139735008879,0.883443477153778,0.6781389420012747,0.001
17,0.9704067344250886,0.6161726540090151,0.854436399936676,0.7055449330783938,0.001
18,0.908942839373713,0.6350225379046578,0.8170626187324523,0.6876991714467814,0.001
19,0.8976968915566154,0.6556481355006146,0.7714414930343628,0.7469725940089229,0.001
20,0.8525711212469184,0.6706734052725037,0.742526798248291,0.739961759082218,0.001
21,0.8109609764555227,0.6809179073897008,0.7646447944641114,0.7527087316762269,0.001
22,0.7616272726784582,0.6994946045622182,0.7543141436576843,0.7444231994901211,0.001
23,0.7401055273802384,0.7050949323862861,0.709930635690689,0.7692797960484385,0.001
24,0.7200407891169839,0.7053681191094113,0.7981620287895203,0.7539834289356278,0.001
25,0.6954750027345574,0.7187542685425489,0.7619518232345581,0.7558954748247291,0.001
26,0.6639464202134505,0.7326867914219369,0.7467704248428345,0.7635436583811345,0.001
27,0.6379421070865963,0.745526567408824,0.7159780657291412,0.7947737412364564,0.001
28,0.6229119725849317,0.748804808086327,0.6985404753684997,0.7864882090503506,0.001
29,0.5988617666389631,0.7482584346400765,0.8002992403507233,0.787125557680051,0.001
30,0.5718305429686671,0.7634202977735282,0.8563463377952576,0.7495219885277247,0.001
31,0.552231063272642,0.7750307335063515,0.9299529552459717,0.7476099426386233,0.001
32,0.5657313359820324,0.7776260073760415,0.739200953245163,0.8094327597195666,0.001
33,0.5491437994915506,0.7794017210763556,0.7141966485977173,0.8017845761631612,0.001
34,0.5248283303302267,0.7847288621772982,0.7617451572418212,0.8164435946462715,0.001
35,0.5053363387999328,0.8015298456495015,0.7368280971050263,0.8087954110898662,0.001
36,0.48843625848707944,0.8024859991804398,0.9923783922195435,0.7622689611217336,0.001
37,0.5023662041062894,0.7970222647179347,0.7964285814762115,0.8024219247928617,0.001
38,0.4923665230688841,0.8083595137276328,0.718356021642685,0.7992351816443595,0.001
39,0.5031364863333495,0.8007102854801257,0.7151930022239685,0.8221797323135756,0.001
40,0.45023998631083445,0.8231115967763967,0.7564843493700028,0.8164435946462715,0.001
41,0.45122006250464397,0.8285753312389018,0.8087281155586242,0.811344805608668,0.001
42,0.42782542524130446,0.8291217046851523,0.8131669414043426,0.82855321861058,0.001
43,0.4170811212581137,0.8341756590629695,0.9104048371315002,0.7826641172721479,0.001
44,0.4072640991729239,0.8354049993170332,0.9053569853305816,0.8355640535372849,0.001
45,0.4243617030589477,0.8341756590629695,0.9373567152023315,0.8138942001274697,0.001
46,0.3772407672975374,0.8471520284114192,0.9652407944202424,0.811344805608668,0.001
47,0.3998995865168779,0.8396393935254747,0.8639901077747345,0.815806246016571,0.001
48,0.40820501524469127,0.8382734599098484,0.9296585446596146,0.8056086679413639,0.001
49,0.3583007622672164,0.8539816964895506,0.7578982722759247,0.8355640535372849,0.001
50,0.3642948161000791,0.8588990575058052,0.9306401705741882,0.8234544295729764,0.001
51,0.3886178757833398,0.8524791695123617,0.8834362864494324,0.8189929891650733,0.001
52,0.3797755276379378,0.8564403769976779,0.826432872414589,0.8432122370936902,0.001
53,0.39266425539617955,0.8456495014342303,0.9859908390045166,0.8049713193116634,0.001
54,0.342187827307245,0.8643627919683103,0.8763194501399993,0.8291905672402804,0.001
55,0.3660064924022426,0.8567135637208032,0.9847688746452331,0.8291905672402804,0.001
56,0.3505156792376352,0.8677776260073761,0.9686522126197815,0.8189929891650733,0.001
57,0.3905087347911752,0.8548012566589264,1.1466306555271149,0.822817080943276,0.001
58,0.34991257864495984,0.8670946591995629,0.8795727360248565,0.8336520076481836,0.001
59,0.34406616415666497,0.8623138915448709,0.9026291239261627,0.8291905672402804,0.001
60,0.3153735367500264,0.8765196011473843,1.0191721576452255,0.8215423836838751,0.0005
61,0.2756128997258518,0.8934571779811501,1.0046857845783235,0.840025493945188,0.0005
62,0.24507872300303502,0.9053408004370987,1.0307444405555726,0.822817080943276,0.0005
63,0.25344410078681034,0.9032919000136593,0.9531762850284576,0.8381134480560867,0.0005
64,0.22588932922352914,0.9109411282611665,1.0124274098873138,0.8508604206500956,0.0005
65,0.22091018052204794,0.9127168419614806,0.9840641105175019,0.8330146590184832,0.0005
66,0.23371827103521514,0.9094386012839776,1.0457686465978622,0.8374760994263862,0.0005
67,0.22194314411152963,0.9120338751536675,1.0663732719421386,0.8502230720203952,0.0005
68,0.23277169161516686,0.9174976096161727,1.0397421491146088,0.8527724665391969,0.0005
69,0.22088358570700106,0.911487501707417,1.2365876352787017,0.8266411727214786,0.0005
70,0.23541121022856754,0.9087556344761645,1.0258705008029938,0.8502230720203952,0.0005
71,0.221274299401304,0.9176342029777352,1.0286634355783462,0.8463989802421925,0.0005
72,0.22115864164155463,0.9132632154077311,1.1219836163520813,0.8266411727214786,0.0005
73,0.20562027576177017,0.9202294768474252,1.2463252127170563,0.8291905672402804,0.0005
74,0.21017414590586786,0.9181805764239858,1.1320286571979523,0.8438495857233907,0.0005
75,0.21848889615224756,0.9198196967627373,1.2732155919075012,0.8355640535372849,0.0005
76,0.1987558238532232,0.9251468378636798,1.121769300699234,0.8425748884639898,0.00025
77,0.19660656516966613,0.926922551563994,1.0956217551231384,0.8476736775015934,0.00025
78,0.19306903112193813,0.9315667258571233,1.1519975292682647,0.8463989802421925,0.00025
79,0.1966933660209179,0.9255566179483677,1.2184654676914215,0.8521351179094965,0.00025
80,0.18140549400578374,0.9321130993033738,1.2593612551689148,0.8451242829827916,0.00025
81,0.1864187482258548,0.9307471656877476,1.26064453125,0.8527724665391969,0.00025
82,0.18210293566403182,0.9321130993033738,1.2149611246585845,0.847036328871893,0.00025
83,0.18579407376439674,0.9326594727496244,1.154547688961029,0.8495857233906947,0.00025
84,0.18912707942983378,0.9329326594727496,1.1771192455291748,0.8463989802421925,0.000125
85,0.16672605472090452,0.9342985930883759,1.1856740939617156,0.8489483747609943,0.000125
86,0.16365573218335275,0.9396257341893184,1.244946973323822,0.8534098151688974,0.000125
87,0.15761823890649754,0.9420844146974457,1.3022840988636017,0.8483110261312938,0.000125
88,0.15743430208252823,0.9416746346127578,1.3154536998271942,0.8489483747609943,0.000125
89,0.17835319116711618,0.9359377134271274,1.2340700376033782,0.8476736775015934,0.000125
90,0.15082767754793167,0.943450348313072,1.295013688802719,0.847036328871893,0.000125
91,0.1832244048623935,0.9359377134271274,1.2933950483798982,0.851497769279796,0.000125
92,0.169260466552299,0.9321130993033738,1.220150612592697,0.8502230720203952,0.000125
93,0.15563764814287423,0.9382598005736921,1.2530559527873992,0.8489483747609943,0.000125
94,0.16169999139788357,0.9415380412511952,1.273907710313797,0.8483110261312938,6.25e-05
95,0.16450310712275298,0.9435869416746346,1.2351682460308075,0.851497769279796,6.25e-05
96,0.18000676502352175,0.937576833765879,1.2361544013023376,0.8483110261312938,6.25e-05
97,0.14322658297808274,0.9452260620133861,1.2663953614234924,0.8527724665391969,6.25e-05
98,0.16254914791687675,0.9416746346127578,1.2452276945114136,0.8540471637985978,6.25e-05
99,0.16019345039258834,0.9416746346127578,1.2785355269908905,0.8502230720203952,6.25e-05
100,0.14857711200804813,0.944543095205573,1.2910431480407716,0.8476736775015934,6.25e-05
101,0.14657478400546572,0.9441333151208852,1.3083670771121978,0.8495857233906947,6.25e-05
102,0.18385478902770125,0.9409916678049447,1.3005374109745025,0.8521351179094965,6.25e-05
103,0.1641257556884185,0.9431771615899467,1.3137597918510437,0.8463989802421925,6.25e-05
104,0.15087921821876712,0.9454992487365114,1.2883882987499238,0.8463989802421925,6.25e-05
105,0.15528276883389638,0.9389427673815053,1.326295794248581,0.8483110261312938,6.25e-05
106,0.16257747829608296,0.9420844146974457,1.2941442656517028,0.8476736775015934,3.125e-05
107,0.14623494193605754,0.9461822155443246,1.3616959023475648,0.8502230720203952,3.125e-05
108,0.14156436712845513,0.9483677093293266,1.3398957347869873,0.8540471637985978,3.125e-05
109,0.1549953239767448,0.9450894686518235,1.3200208246707916,0.8489483747609943,3.125e-05
110,0.16313921822154004,0.9416746346127578,1.3145926976203919,0.8489483747609943,3.125e-05
111,0.15503629504338554,0.9444065018440104,1.3535589146614075,0.8534098151688974,3.125e-05
112,0.13515712149117304,0.9491872694987024,1.3634407603740692,0.8483110261312938,3.125e-05
113,0.14390684549251329,0.9461822155443246,1.3591554641723633,0.8502230720203952,3.125e-05
114,0.14537854333934577,0.9454992487365114,1.376128603219986,0.8483110261312938,1.5625e-05
115,0.1518920124710902,0.9431771615899467,1.3758475935459138,0.8489483747609943,1.5625e-05
116,0.15507156568700853,0.9398989209124436,1.372906481027603,0.8495857233906947,1.5625e-05
117,0.13694083243608474,0.9486408960524518,1.3606451845169067,0.847036328871893,1.5625e-05
118,0.15282719488377156,0.9450894686518235,1.3787888848781586,0.8502230720203952,1.5625e-05
119,0.14370374077040216,0.9448162819286983,1.3718961727619172,0.8495857233906947,1.5625e-05
120,0.14554450920094614,0.945635842098074,1.3736601328849793,0.8451242829827916,1.5625e-05
121,0.14599459168055784,0.9461822155443246,1.3666510736942292,0.8495857233906947,1.5625e-05
122,0.15674998800715675,0.9450894686518235,1.3581986892223359,0.8527724665391969,7.8125e-06
123,0.15441211249841297,0.9416746346127578,1.358750089406967,0.8534098151688974,7.8125e-06
